sample,IOP,OD,OS,IOP_class,Age,Age_class,Sex,ANGPT2_rlog,PTPRB_rlog,TEK_rlog,ANGPT2_vst,PTPRB_vst,TEK_vst,ANGPT2_raw,PTPRB_raw,TEK_raw
s_00077E7AC5,s_00077E7AC5,24,24,25,High,151,A2_Adult,F,7.08118824879444,7.54122894182903,7.34002464708048,8.25647145992912,8.36027530373413,8.29008944998855,161,176,168
s_00077E7B8A,s_00077E7B8A,12,13,12,Normal,228,A4_Aged,F,6.91278456959466,7.61833557149751,7.34420019729321,8.05166452517445,8.45165039357239,8.29490545382597,110,186,153
s_00077E7B99,s_00077E7B99,0,0,0,NoData,NA,NoData,NoData,6.7622785115658,7.97420909432364,7.09848395482313,7.86533947269741,8.88056908165578,8.002015610291,86,305,106
s_00077E7BF8,s_00077E7BF8,16,16,15,Elevated,191,A4_Aged,F,6.98153951814166,7.94631496006272,7.49480138108372,8.13535521213629,8.84874576000011,8.47677807748759,94,211,145
s_00077E7C6D,s_00077E7C6D,10,10,10,Normal,135,A2_Adult,F,6.6457987134171,8.1553512150101,7.6728104784531,7.70886094389765,9.10587937386479,8.69360630605148,51,296,197
s_00077E7CBE,s_00077E7CBE,16,17,15,Elevated,205,A4_Aged,M,6.77881364501004,7.53175851838268,7.35622796333783,7.88478560856501,8.3485057594573,8.30916669851805,77,153,141
s_00077E83F8,s_00077E83F8,16,17,14,Elevated,131,A1_Adolescent,M,7.07740420403168,7.3307655439466,7.50534849691176,8.25287044600937,8.1087927955548,8.48935656038232,117,98,157
s_00077E8978,s_00077E8978,10,11,9,Normal,177,A3_Middle_Aged,FP,6.9282269437801,7.54640507753532,7.3900081675145,8.07081957988137,8.36672217842121,8.34985767393954,130,194,189
s_00077E8985,s_00077E8985,19,22,17,Elevated,197,A4_Aged,F,7.10737595344489,7.18727162325488,7.38076265632796,8.28953998344251,7.94062619059279,8.33861869993896,129,86,137
s_00077E8A23,s_00077E8A23,16,16,17,Elevated,177,A3_Middle_Aged,FP,6.93757762510308,7.87152264986669,7.36296640482684,8.081936847225,8.75566816033152,8.31739882316768,116,267,159
