Expression,Gene
1,161,ANGPT2
2,110,ANGPT2
3,94,ANGPT2
4,51,ANGPT2
5,77,ANGPT2
6,117,ANGPT2
7,130,ANGPT2
8,129,ANGPT2
9,116,ANGPT2
10,66,ANGPT2
11,78,ANGPT2
12,153,ANGPT2
13,207,ANGPT2
14,143,ANGPT2
15,89,ANGPT2
16,134,ANGPT2
17,83,ANGPT2
18,77,ANGPT2
19,294,ANGPT2
20,68,ANGPT2
21,264,ANGPT2
22,112,ANGPT2
23,168,ANGPT2
24,239,ANGPT2
25,427,ANGPT2
26,79,ANGPT2
27,160,ANGPT2
28,82,ANGPT2
29,180,ANGPT2
30,222,ANGPT2
31,146,ANGPT2
32,102,ANGPT2
33,222,ANGPT2
34,135,ANGPT2
35,261,ANGPT2
36,111,ANGPT2
37,114,ANGPT2
38,105,ANGPT2
39,99,ANGPT2
40,92,ANGPT2
41,166,ANGPT2
42,139,ANGPT2
43,171,ANGPT2
44,140,ANGPT2
45,177,ANGPT2
46,176,PTPRB
47,186,PTPRB
48,211,PTPRB
49,296,PTPRB
50,153,PTPRB
51,98,PTPRB
52,194,PTPRB
53,86,PTPRB
54,267,PTPRB
55,161,PTPRB
56,122,PTPRB
57,180,PTPRB
58,172,PTPRB
59,338,PTPRB
60,173,PTPRB
61,113,PTPRB
62,138,PTPRB
63,49,PTPRB
64,257,PTPRB
65,278,PTPRB
66,483,PTPRB
67,260,PTPRB
68,223,PTPRB
69,311,PTPRB
70,597,PTPRB
71,167,PTPRB
72,257,PTPRB
73,314,PTPRB
74,289,PTPRB
75,193,PTPRB
76,254,PTPRB
77,174,PTPRB
78,184,PTPRB
79,195,PTPRB
80,298,PTPRB
81,194,PTPRB
82,131,PTPRB
83,109,PTPRB
84,208,PTPRB
85,188,PTPRB
86,86,PTPRB
87,177,PTPRB
88,213,PTPRB
89,197,PTPRB
90,100,PTPRB
91,168,TEK
92,153,TEK
93,145,TEK
94,197,TEK
95,141,TEK
96,157,TEK
97,189,TEK
98,137,TEK
99,159,TEK
100,154,TEK
101,117,TEK
102,172,TEK
103,198,TEK
104,266,TEK
105,148,TEK
106,131,TEK
107,133,TEK
108,70,TEK
109,297,TEK
110,110,TEK
111,405,TEK
112,234,TEK
113,237,TEK
114,388,TEK
115,599,TEK
116,167,TEK
117,160,TEK
118,97,TEK
119,190,TEK
120,186,TEK
121,189,TEK
122,179,TEK
123,141,TEK
124,144,TEK
125,131,TEK
126,104,TEK
127,260,TEK
128,105,TEK
129,253,TEK
130,263,TEK
131,203,TEK
132,57,TEK
133,176,TEK
134,162,TEK
135,179,TEK
