RatID,DOB,Sex,Origin,Batch,DATE,AgeInDays,MeasuredBy,OD1,OD2,OD3,OS1,OS2,OS3,Note
00077EAFA7,2014-08-24,M,UTHSC,0,2014-11-11,79,WH,9,9,9,7,10,9,
00077EA698,2014-08-22,M,UTHSC,0,2014-11-11,81,WH,10,10,9,8,9,8,
00077E6709,2014-08-22,M,UTHSC,0,2014-11-11,81,WH,13,12,13,10,11,12,
00077E90E0,2014-08-24,M,UTHSC,0,2014-11-11,79,WH,10,12,10,8,9,10,
00077E786C,2014-09-02,F,UTHSC,0,2014-11-11,70,WH,9,8,8,10,10,9,
00077EACD7,2014-08-24,F,UTHSC,0,2014-11-11,79,WH,9,9,9,10,9,8,
00077E78D7,2014-09-02,F,UTHSC,0,2014-11-11,70,WH,9,10,10,8,9,9,
00077EAAB1,2014-08-24,F,UTHSC,0,2014-11-11,79,WH,10,8,10,13,14,14,
00077E82E0,2014-09-02,M,UTHSC,0,2014-11-11,70,WH,16,16,17,9,9,8,
00077E83AD,2014-09-02,M,UTHSC,0,2014-11-11,70,WH,9,10,10,7,6,6,
00077E7C14,2014-08-24,M,UTHSC,0,2014-11-11,79,WH,10,10,10,9,10,10,
00077E7862,2014-09-02,F,UTHSC,0,2014-11-11,70,WH,9,9,8,10,9,9,
00077E88D2,2014-09-02,F,UTHSC,0,2014-11-11,70,WH,9,10,11,8,9,8,
00077E77AE,2014-08-24,M,UTHSC,0,2014-11-13,81,WH,23,23,24,18,20,18,
00077E8E4B,2014-09-03,M,UTHSC,0,2014-11-13,71,WH,14,13,14,8,7,9,
00077E8213,2014-09-03,M,UTHSC,0,2014-11-13,71,WH,13,14,14,10,9,8,
00077E755E,2014-09-02,M,UTHSC,0,2014-11-13,72,WH,12,11,13,9,11,12,
00077E7808,2014-08-24,F,UTHSC,0,2014-11-13,81,WH,12,12,13,13,13,12,
00077E6620,2014-08-22,F,UTHSC,0,2014-11-13,83,WH,12,10,12,9,8,9,
00077E778E,2014-09-03,F,UTHSC,0,2014-11-13,71,WH,7,8,10,8,10,8,
00077E78AC,2014-09-03,F,UTHSC,0,2014-11-13,71,WH,10,9,7,8,8,8,
00077EABE5,2014-08-22,F,UTHSC,0,2014-11-14,84,WH,12,13,12,13,14,14,
00077E83AF,2014-08-24,F,UTHSC,0,2014-11-14,82,WH,14,14,14,13,13,12,
000721ABD0,2014-06-13,F,MCW,0,2014-11-19,159,WH,13,14,12,12,12,12,
0007219395,2014-06-15,F,MCW,0,2014-11-19,157,WH,15,14,15,13,13,13,
000721CE30,2014-06-13,F,MCW,0,2014-11-19,159,WH,12,12,14,10,11,10,
0007216043,2014-06-14,M,MCW,0,2014-11-19,158,WH,7,7,8,10,11,10,
000721A333,2014-06-16,M,MCW,0,2014-11-19,156,WH,14,15,15,12,13,13,
000721A11D,2014-06-14,F,MCW,0,2014-11-19,158,WH,14,13,12,12,13,11,
00071F768E,2014-06-07,M,MCW,0,2014-11-19,165,WH,20,21,21,13,14,15,
000721ABCD,2014-06-14,M,MCW,0,2014-11-19,158,WH,12,13,15,14,13,14,
000721AB12,2014-06-03,F,MCW,0,2014-11-19,169,WH,11,10,11,13,14,14,
000721326D,2014-06-03,F,MCW,0,2014-11-19,169,WH,14,15,14,12,12,11,
000721B9CA,2014-06-18,M,MCW,0,2014-11-25,160,WH,8,9,10,9,11,11,
000721724B,2014-06-04,M,MCW,0,2014-11-25,174,WH,10,11,11,11,13,13,
000721D27B,2014-06-07,F,MCW,0,2014-11-25,171,WH,12,13,13,10,10,12,
000721B552,2014-06-03,F,MCW,0,2014-11-25,175,WH,10,9,10,10,10,10,
0007216A9E,2014-06-18,F,MCW,0,2014-11-25,160,WH,12,13,12,10,9,9,
000721B788,2014-06-16,F,MCW,0,2014-11-25,162,WH,13,11,13,9,8,9,
000721A8E0,2014-06-15,F,MCW,0,2014-11-25,163,WH,12,13,13,13,14,13,
0007214268,2014-06-14,F,MCW,0,2014-11-25,164,WH,13,13,14,10,10,9,
0007215D69,2014-06-14,F,MCW,0,2014-11-25,164,WH,10,10,11,12,13,13,
000721E0C6,2014-06-02,F,MCW,0,2014-11-25,176,WH,12,13,13,12,12,12,
00077E82F7,2014-09-02,M,UTHSC,0,2014-12-03,92,WH,8,8,9,9,10,8,
00077E8653,2014-09-03,M,UTHSC,0,2014-12-03,91,WH,10,11,10,9,10,10,
00077E9BF8,2014-09-08,M,UTHSC,0,2014-12-03,86,WH,9,10,10,10,9,10,
00077E7815,2014-09-07,M,UTHSC,0,2014-12-03,87,WH,12,12,12,9,10,9,
00077E77D3,2014-09-08,M,UTHSC,0,2014-12-03,86,WH,12,13,13,12,13,12,
00077E8285,2014-09-06,M,UTHSC,0,2014-12-03,88,WH,9,11,10,11,11,12,
00077E7654,2014-09-07,M,UTHSC,0,2014-12-03,87,WH,9,9,8,10,10,9,
00077E6772,2014-09-06,F,UTHSC,0,2014-12-03,88,WH,10,10,12,10,11,9,
00077E7975,2014-09-08,F,UTHSC,0,2014-12-03,86,WH,10,9,10,12,12,10,
00077E9063,2014-09-07,F,UTHSC,0,2014-12-03,87,WH,9,9,9,8,7,8,
00077E8CCF,2014-09-08,F,UTHSC,0,2014-12-03,86,WH,8,8,9,10,11,9,
00077E9110,2014-09-03,F,UTHSC,0,2014-12-03,91,WH,10,11,9,11,12,12,
